Pertanyaan,Jawaban
 Perusahaan Angkutan Umum wajib memenuhi standar pelayanan minimal yang ditetapkan berdasarkan jenis pelayanan yang diberikan. Sebutkan 6 (enam) standar pelayanan tersebut? , a. Keamanan b. Keselamatan c. Kenyamanan d. Keterjangkauan e. Kesetaraan dan f. Keteraturan. 
 Angkutan orang dengan kendaraan bermotor umum dalam trayek terdapat beberapa jenis. Sebutkan jenis pelayanan dimaksud ?, a. Angkutan lintas batas negara b. Angkutan antarkota antarprovinsi c. Angkutan antarkota dalam provinsi d. Angkutan perkptaan atau angkutan perdesaan. 
 Jaringan trayek dan kebutuhan Kendaraan Bermotor Umum disusun dalam bentuk rencana umum jaringan trayek. Jaringan trayek dan kebutuhan Kendaraan Bermotor Umum disusun berdasarkan kriteria apa saja?, a. tata ruang wilayah b. tingkat permintaan jasa angkutan c. kemampuan penyediaan jasa angkutan d. ketersediaan jaringan Lalu-lintas dan Angkutan Jalan e. kesesuaian dengan kelas jalan f. keterpaduan intramoda angkutan dan g. keterpaduan antarmoda angkutan. 
 Penyusunan rencana umum jaringan trayek dilakukan secara terkoordinasi dengan instansi terkait. Rencana umum jaringan trayek tersebut dikaji ulang secara berkala paling lama untuk berapa tahun?, Rencana umum jaringan trayek tersebut dikaji ulang secara berkala paling lama 5 (lima) tahun. 
 Jaringan trayek perkotaan disusun berdasarkan kawasan perkotaan. Siapakah yang menetapkan kawasan perkotaan untuk pelayanan angkutan yang melampaui batas wilayah kabupaten/kota dalam satu provinsi?, Gubernur untuk kawasan perkotaan yang melampaui batas wilayah kabupaten/kota dalam satu provinsi. 
 Pelayanan angkutan orang dengan kendaraan bermotor umum tidak dalam trayek terdiri atas beberapa macam. Sebutkan pelayanan angkutan orang dimaksud ?, a. Angkutan orang dengan menggunakan taksi b. Angkutan orang dengan tujuan tertentu c. Angkutan orang untuk keperluan pariwisata dan  d. Angkutan orang di kawasan tertentu. 
 Pemerintah menjamin ketersediaan angkutan massal berbasis Jalan untuk memenuhi kebutuhan angkutan orang dengan Kendaraan Bermotor Umum di kawasan perkotaan. Sebutkan 4 (empat) hal yang mendukung Angkutan massal berbasis Jalan untuk memenuhi kebutuhan angkutan orang dengan Kendaraan Bermotor Umum di kawasan perkotaan?, Angkutan massal harus didukung dengan: 1. mobil bus yang berkapasitas angkut massal 2. lajur khusus 3. trayek angkutan umum lain yang tidak berimpitan dengan trayek angkutan massal dan 4. angkutan pengumpan. 
 Angkutan barang dengan Kendaraan Bermotor Umum terdiri atas: a. angkutan umum dan b. angkutan barang khusus. Pengangkutan barang umum harus memenuhi 3 (tiga) persyaratan, a. prasarana jalan yang dilalui memenuhi ketentuan kelas Jalan b. tersedia pusat distribusi logistik dan/atau tempat untuk memuat dan membongkar barang dan c. menggunakan mobil barang. 
 Angkutan orang dengan Kendaraan Bermotor Umum yang melayani trayek tetap lintas batas negara Meliputi apa saja Dokumen angkutan orang tersebut?, a. tiket Penumpang umum untuk angkutan dalam trayek b. tanda pengenal bagasi dan c. manifes. 
 Angkutan barang dengan Kendaraan Bermotor Umum wajib dilengkapi dengan dokumen. Meliputi apa saja Dokumen Angkutan barang dengan Kendaraan Bermotor Umum yang harus dilengkapi tersebut?, a. surat perjanjian pengangkutan dan b. surat muatan barang. 
 Perusahaan Angkutan Umum orang wajib: a. menyerahkan tiket Penumpang b. menyerahkan tanda bukti pembayaran pengangkutan untuk angkutan tidak dalam trayek Masih ada 2 (dua) persyaratan lainnya, a. menyerahkan tanda pengenal bagasi kepada penumpang dan b. menyerahkan manifes kepada Pengemudi 
 Pengemudi dan/atau Perusahaan Angkutan Umum barang wajib mematuhi ketentuan mengenai tata cara pemuatan Untuk mengawasi pemenuhan terhadap ketentuan tersebut Pengawasan muatan angkutan barang dilakukan dengan menggunakan apa?,  Pengawasan muatan angkutan barang dilakukan dengan menggunakan alat penimbangan. 
 Pengawasan muatan angkutan barang dilakukan dengan menggunakan alat penimbangan. Terdiri atas apa sajakah alat penimbangan tersebut?, a. alat penimbangan yang dipasang secara tetap atau b. alat penimbangan yang dapat dipindahkan. 
" Alat penimbangan sebagai alat untuk pengawasan muatan angkutan barang Siapakah	yang	melakukan	penetapan	lokasi,	pengoperasian,	dan	penutupan	alat penimbangan yang dipasang secara tetap pada jalan?", Pemerintah 
 Pengoperasian dan perawatan alat penimbangan yang dipasang secara tetap dilakukan oleh unit pelaksana penimbangan yang ditunjuk oleh Pemerintah. Apa saja yang wajib didata oleh petugas alat penimbangan yang dipasang secara tetap tersebut?, Yang wajib didata adalah jenis barang yang diangkut 
 Perusahaan Angkutan Umum yang menyelenggarakan angkutan orang dan/atau barang wajib memiliki izin. Izin apa saja yang wajib dimiliki oleh Perusahaan Angkutan Umum yang menyelenggarakan angkutan orang dan/atau barang?, a. izin penyelenggaraan angkutan orang dalam trayek b. izin penyelenggaraan angkutan orang tidak dalam trayek dan/atau c. izin penyelenggaraan angkutan barang khusus atau alat berat. 
 Perusahaan Angkutan Umum wajib mengangkut orang dan/atau barang setelah disepakati perjanjian angkutan dan/atau dilakukan pembayaran biaya angkutan oleh Penumpang dan/atau pengirim barang. Kewajiban apa yang dibebankan kepada Perusahaan Angkutan Umum jika terjadi pembatalan pemberangkatan?, Perusahaan Angkutan Umum wajib mengembalikan biaya angkutan yang telah dibayar oleh Penumpang dan/atau pengirim barang jika terjadi pembatalan pemberangkatan. 
 Perusahaan Angkutan Umum bertanggung jawab atas kerugian yang diderita oleh Penumpang yang meninggal dunia atau luka akibat penyelenggaraan angkutan. Dalam hal apakah pernyataan di atas dikecualikan?, Kecuali disebabkan oleh suatu kejadian yang tidak dapat dicegah atau dihindari atau karena kesalahan penumpang. 
 Perusahaan Angkutan Umum bertanggung jawab atas kerugian yang diderita oleh Penumpang yang meninggal dunia atau luka akibat penyelenggaraan angkutan Kerugian yang diderita oleh penumpang yang meninggal dunia atau luka akibat penyelenggaraan angkutan tersebut dihitung berdasarkan apa? , Berdasarkan kerugian yang nyata-nyata dialami atau bagian biaya pelayanan. 
 Perusahaan Angkutan Umum bertanggung jawab atas kerugian yang diderita oleh Penumpang yang meninggal dunia atau luka akibat penyelenggaraan angkutan Tanggung jawab Perusahaan Angkutan Umum tersebut dimulai sejak kapan?, Tanggung jawab Perusahaan Angkutan Umum dimulai sejak Penumpang diangkut dan berakhir di tempat tujuan yang disepakati. 
 Dalam hal tindak pidana lalu lintas dilakukan Perusahaan Angkutan Umum Pidana tambahan yang dimaksud berupa apa?, Berupa pembekuan sementara atau pencabutan izin penyelenggaraan angkutan bagi kendaraan yang digunakan. 
 Pengangkut tidak bertanggung jawab atas kerugian barang bawaan Penumpang. Dalam hal apakah pernyataan di atas dikecualikan?, Pengangkut tidak bertanggung jawab atas kerugian barang bawaan Penumpang 
 Perusahaan Angkutan Umum bertanggung jawab atas kerugian yang diderita oleh pengirim barang karena barang musnah Tanggung jawab Perusahaan Angkutan Umum tersebut dimulai sejak kapan?, Tanggung jawab Perusahaan Angkutan Umum tersebut dimulai sejak barang diangkut sampai barang diserahkan di tempat tujuan yang disepakati. 
 Perusahaan Angkutan Umum tidak bertanggung jawab atas kerugian yang diderita oleh pihak ketiga Kapan selambat-lambatnya hak untuk mengajukan keberatan dan permintaan ganti kerugian pihak ketiga kepada Perusahaan Angkutan Umum disampaikan?, Disampaikan selambat-lambatnya 30 (tiga puluh) hari terhitung mulai tanggal terjadinya kerugian. 
 Setiap pemilik dan/atau pengemudi Kendaraan Bermotor dan Perusahaan Angkutan Umum wajib mencegah terjadinya pencemaran udara dan kebisingan. Pelanggaran terhadap ketentuan mengenai dampak lingkungan Lalu Lintas dan Angkutan Jalan tersebut di atas dikenai sanksi administratif. Sanksi administratif tersebut berupa apa saja?, a. peringatan tertulis b. denda administratif c. pembekuan izin atau d. pencabutan izin. 
 Kecelakaan Lalu-Lintas digolongkan atas: a. kecelakaan lalu-lintas ringan b. kecelakaan lalu-lintas sedang atau c. kecelakaan lalu-lintas berat. Apakah yang dimaksud dengan Kecelakaan Lalu-Lintas ringan?, Kecelakaan lalu-lintas ringan merupakan kecelakaan yang mengakibatkan kerusakan kendaraan dan/atau barang. 
 Kecelakaan Lalu-Lintas digolongkan atas: a. kecelakaan lalu-lintas ringan b. kecelakaan lalu-lintas sedang atau c. kecelakaan lalu-lintas berat. Apakah yang dimaksud dengan Kecelakaan Lalu-Lintas sedang?, Kecelakaan lalu-lintas sedang merupakan kecelakaan yang mengakibatkan luka ringan dan kerusakan kendaraan dan/atau barang. 
 Kecelakaan Lalu-Lintas digolongkan atas: a. kecelakaan lalu-lintas ringan b. kecelakaan lalu-lintas sedang atau c. kecelakaan lalu-lintas berat. Apakah yang dimaksud dengan Kecelakaan Lalu-Lintas berat?, Kecelakaan lalu-lintas berat merupakan kecelakaan yang mengakibatkan korban meninggal dunia atau luka berat. 
 Pengemudi Dalam hal apa saja, a. adanya keadaan memaksa yang tidak dapat dielakkan atau di luar kemampuan Pengemudi b. disebabkan oleh perilaku korban sendiri atau pihak ketiga dan/atau c. disebabkan gerakan orang dan/atau hewan walaupun telah diambil tindakan pencegahan. 
 Jika korban meninggal dunia akibat kecelakaan lalu-lintas Bantuan yang diberikan kepada ahli waris korban berupa apa saja?, Biaya pengobatan dan/atau biaya pemakaman dengan tidak menggugurkan tuntutan perkara pidana. 
 Jika terjadi cedera terhadap badan atau kesehatan korban akibat kecelakaan lalu-lintas sedang dan berat Bantuan yang diberikan kepada korban berupa apa? , Biaya pengobatan dengan tidak menggugurkan tuntutan perkara pidana. 
 Pihak yang menyebabkan terjadinya kecelakaan lalu-lintas wajib mengganti kerugian yang besarannya ditentukan berdasarkan putusan pengadilan. Kewajiban mengganti kerugian tersebut dapat dilakukan di luar sidang pengadilan, Kewajiban mengganti kerugian dapat dilakukan di luar sidang pengadilan 
 Korban Kecelakaan Lalu-Lintas berhak mendapatkan Pertolongan dan perawatan dari pihak yang bertanggung jawab atas terjadinya Kecelakaan Lalu-Lintas dan/atau Pemerintah. Masih terdapat 2 hak lagi bagi korban kecelakaan lalu-lintas, a. ganti kerugian dari pihak yang bertanggung jawab atas terjadinya kecelakaan lalu-lintas b. santunan kecelakaan lalu-lintas dari perusahaan asuransi. 
 Pemerintah Perlakuan khusus tersebut meliputi hal apa saja?, a. aksesibilitas b. prioritas pelayanan c. fasilitas pelayanan. 
 Perusahaan Angkutan Umum yang tidak memenuhi kewajiban menyediakan sarana dan prasarana pelayanan kepada penyandang cacat Sanksi administratifnya berupa apa saja?, a. peringatan tertulis b. denda administratif c. pembekuan izin dan/atau d. pencabutan izin. 
 Setiap pelanggaran di bidang lalu-lintas dan Angkutan Jalan yang diperiksa menurut acara pemeriksaan cepat dapat dikenai pidana denda berdasarkan penetapan pengadilan Pelanggar yang tidak dapat hadir dapat menitipkan denda. Kemana denda tersebut dititipkan?, Kepada Bank yang ditunjuk oleh pemerintah. 
 Bukti penitipan uang denda wajib dilampirkan dalam berkas bukti pelanggaran. Berapakah jumlah denda yang dititipkan kepada bank yang ditunjuk oleh pemerintah? , Jumlah denda yang dititipkan kepada bank yang ditunjuk oleh pemerintah sebesar denda maksimal yang dikenakan untuk setiap pelanggaran Lalu-Lintas dan Angkutan Jalan. 
 Dalam hal putusan pengadilan menetapkan pidana denda lebih kecil daripada uang denda yang dititipkan Apa akibatnya jika sisa uang denda tersebut tidak diambil dalam waktu 1 (satu) tahun sejak penetapan putusan pengadilan?, Disetorkan ke kas negara. 
 Uang denda yang ditetapkan pengadilan disetorkan ke kas negara sebagai penerimaan negara bukan pajak. Dialokasikan sebagai apakah sebagian penerimaan negara bukan pajak tersebut?, Dialokasikan sebagai insentif bagi petugas Kepolisian Negara Republik Indonesia dan Penyidik Pegawai Negeri Sipil yang melaksanakan penegakan hukum di jalan yang pelaksanaannya sesuai dengan ketentuan peraturan perundang-undangan. 
 Setiap penyelenggara jalan yang tidak dengan segera dan patut memperbaiki jalan yang rusak yang mengakibatkan kecelakaan lalu-lintas sehingga menimbulkan korban luka ringan dan/atau kerusakan kendaraan dan/atau barang Apa ancaman pidananya?, Dipidana dengan penjara paling lama 6 (enam) bulan atau denda paling banyak Rp. 12.000.000 
 Setiap penyelenggara jalan yang tidak dengan segera dan patut memperbaiki jalan yang rusak yang mengakibatkan kecelakaan lalu-lintas sehingga mengakibatkan luka berat Sebutkan ancaman pidananya?, Pidana penjara paling lama 1 (satu) tahun atau denda paling banyak Rp. 24.000.000 
 Setiap penyelenggara jalan yang tidak dengan segera dan patut memperbaiki jalan yang rusak yang mengakibatkan kecelakaan lalu-lintas sehingga mengakibatkan orang lain meninggal dunia Apa ancaman pidananya?, Pelaku dipidana dengan pidana penjara paling lama 5 (lima) tahun atau denda paling banyak Rp. 120.000.000 
 Penyelenggara Jalan yang tidak memberi tanda atau rambu pada jalan yang rusak dan belum diperbaiki Apa ancaman pidananya? , Dipidana dengan pidana penjara paling lama 6 (enam) bulan atau denda paling banyak Rp. 1.500.000 
 Setiap orang yang melakukan perbuatan yang mengakibatkan kerusakan dan/atau gangguan fungsi jalan dan fungsi perlengkapan jalan Apa ancaman pidananya?, Dipidana dengan pidana penjara paling lama 1 (satu) tahun atau denda paling banyak Rp. 24.000.000 
 Setiap orang yang melakukan perbuatan yang mengakibatkan gangguan pada fungsi Rambu Lalu-Lintas Apa ancaman pidananya?, Dipidana dengan pidana kurungan paling lama 1 (satu) bulan atau denda paling banyak Rp. 250.000 
 Setiap orang yang merusak Rambu Lalu-Lintas Apa ancaman pidananya?, Dipidana dengan pidana penjara paling lama 2 (dua) tahun atau denda paling banyak Rp. 50.000.000 
 Setiap orang yang mengemudikan Kendaraan Bermotor Umum dalam trayek tidak singgah di Terminal Sebutkan ancaman pidananya?, Dipidana dengan pidana kurungan paling lama 1 (satu) bulan atau denda paling banyak Rp. 250.000 
 Setiap orang yang memasukkan Kendaraan Bermotor Apa ancaman pidananya?, Dipidana dengan pidana penjara paling lama 1 (satu) tahun atau denda paling banyak Rp. 24.000.000 
 Setiap orang yang mengemudikan Kendaraan Bermotor beroda empat atau lebih di jalan yang tidak dilengkapi dengan perlengkapan berupa ban cadangan  dongkrak Apa ancaman pidananya?, Dipidana dengan kurungan paling lama 1 (satu) bulan atau denda paling banyak Rp. 250.000 
" Setiap	orang	yang	mengemudikan	Kendaraan	Bermotor	di	Jalan	yang	dipasangi perlengkapan yang dapat mengganggu keselamatan berlalu-lintas, diancam pidana. Apa ancaman pidananya?", Dipidana dengan pidana kurungan paling lama 2 (dua) bulan atau denda paling banyak Rp. 500.000 
 Setiap orang yang mengemudikan Kendaraan Bermotor di Jalan yang tidak dipasangi Tanda Nomor Kendaraan Bermotor yang ditetapkan oleh Kepolisian Negara Republik Indonesia Apa ancaman pidananya?, Dipidana dengan pidana kurungan paling lama 2 (dua) bulan atau denda paling banyak Rp. 500.000 
 Setiap orang yang mengemudikan Kendaraan Bermotor di Jalan yang tidak memiliki Surat Izin Mengemudi Apa ancaman pidananya?, Dipidana dengan pidana kurungan paling lama 4 (empat) bulan atau denda paling banyak Rp. 1.000.000 
 Setiap Pengguna Jalan yang tidak mematuhi perintah yang diberikan oleh petugas Kepolisian Negara Republik Indonesia Apa ancaman pidananya?, Dipidana dengan pidana kurungan paling lama 1 (bulan) atau denda paling banyak Rp. 250.000 
 Fulan menyetir mobil sambil melakukan kegiatan menelepon temannya Sebutkan ancaman pidananya?, Dipidana dengan pidana kurungan paling lama 3 (tiga) bulan atau denda paling banyak Rp750.000 
 Setiap orang yang mengemudikan Kendaraan Bermotor dengan tidak mengutamakan keselamatan Pejalan Kaki atau pesepeda Sebutkan ancaman pidananya? , Dipidana dengan pidana kurungan paling lama 2 (dua) bulan atau denda paling banyak Rp500.000 
 Setiap orang yang mengemudikan Sepeda Motor di Jalan yang tidak memenuhi persyaratan teknis dan laik jalan yang meliputi kaca spion Ancaman pidananya, Dipidana dengan pidana kurungan paling lama 1 (satu) bulan atau denda paling banyak Rp250.000 
 Setiap orang yang mengemudikan Kendaraan Bermotor beroda empat atau lebih di Jalan yang tidak memenuhi persyaratan teknis yang meliputi kaca spion Apa ancaman pidananya?, Dipidana dengan pidana kurungan paling lama 2 (dua) bulan atau denda paling banyak Rp500.000 
 Mobil yang dikendarai oleh Pak Raden ternyata tidak memenuhi persyaratan laik jalan. Akibatnya Pak Raden dapat diancam pidana, Dipidana dengan pidana kurungan paling lama 2 (dua) bulan atau denda paling banyak Rp500.000 
 Setiap orang yang mengemudikan Kendaraan Bermotor di Jalan yang melanggar aturan perintah atau larangan yang dinyatakan dengan Rambu Lalu Lintas atau Marka Jalan Sebutkan ancaman pidananya?, Dipidana dengan pidana kurungan paling lama 2 (dua) bulan atau denda paling banyak Rp500.000 
 Nona cantik menerobos lampu merah di persimpangan jalan Sebutkan ancaman pidananya?, Dipidana dengan pidana kurungan paling lama 2 (dua) bulan atau denda paling banyak Rp500.000 
 Tuan Bento memarkir mobilnya di sembarang tempat Apa ancaman pidananya?, Dipidana dengan pidana kurungan paling lama 1 (satu) bulan atau denda paling banyak Rp250.000 
 Pak Barnie tidak mau menepikan kendaraannya ketika rombongan mobil pemadam kebakaran akan lewat untuk memadamkan api kebakaran. Tindakan pak barnie ini salah dan dapat dipidana, Dipidana dengan pidana kurungan paling lama 1 (satu) bulan atau denda paling banyak Rp250.000 
 Setiap orang yang mengemudikan Kendaraan Bermotor di Jalan yang melanggar aturan batas kecepatan paling tinggi atau paling rendah Sebutkan ancaman pidananya?, Dipidana dengan pidana kurungan paling lama 2 (dua) bulan atau denda paling banyak Rp500.000 
 Setiap orang yang mengemudikan Kendaraan Bermotor di Jalan yang tidak dilengkapi dengan Surat Tanda Nomor Kendaraan Bermotor atau Surat Tanda Coba Kendaraan Bermotor yang ditetapkan oleh Kepolisian Negara Republik Indonesia diancam pidana. Apa ancaman pidananya?, Dipidana dengan pidana kurungan paling lama 2 (dua) bulan atau denda paling banyak Rp500.000 
 Ketika sedang ada razia Atas kelalauiannya Pak Makmur tetap diancam pidana. Sebutkan ancaman pidananya?, Dipidana dengan pidana kurungan paling lama 1 (satu) bulan dan/atau denda paling banyak Rp250.000 
 Setiap orang yang mengemudikan Kendaraan Bermotor atau Penumpang yang duduk di samping Pengemudi yang tidak mengenakan sabuk keselamatan Sebutkan ancaman pidananya?, Dipidana dengan pidana kurungan paling lama 1 (satu) bulan atau denda paling banyak Rp250.000 
 Karena beralasan harga yang mahal Tindakan Pak Fulan itu tidak dibenarkan dan diancam pidana, Dipidana dengan pidana kurungan paling lama 1 (satu) bulan atau denda paling banyak Rp250.000 
 Nyonya Fulana berboncengan motor dengan suaminya tanpa menggunakan helm standar SNI Sebutkan ancaman pidananya?, Dipidana dengan pidana kurungan paling lama 1 (satu) bulan atau denda paling banyak Rp250.000 
 Setiap orang yang mengemudikan Kendaraan Bermotor di Jalan tanpa menyalakan lampu utama pada malam hari dan kondisi tertentu Sebutkan ancaman pidananya?, Dipidana dengan pidana kurungan paling lama 1 (satu) bulan atau denda paling banyak Rp250.000 
 Jack tidak mau menyelakan lampu utama motornya ketika ia mengendarai motor pada siang hari dengan alasan tidak perlu. Tindakan Jack tidak dapat dibenarkan dan diancam pidana. Apa ancaman pidananya?, Dipidana dengan pidana kurungan paling lama 15 (lima belas) hari atau denda paling banyak Rp100.000 
 Setiap orang yang mengemudikan Kendaraan Bermotor yang akan membelok atau berbalik arah Apa ancaman pidananya?, Dipidana dengan pidana kurungan paling lama 1 (satu) bulan atau denda paling banyak Rp250.000 
 Setiap orang yang mengemudikan  Kendaraan Bermotor yang akan berpindah lajur atau bergerak ke samping tanpa memberikan isyarat Apa ancaman pidananya?, Dipidana dengan pidana kurungan paling lama 1 (satu) bulan atau denda paling banyak Rp250.000 
 Menerobos perlintasan antara kereta api dan Jalan yang tidak berhenti ketika sinyal sudah berbunyi Apa ancaman pidananya?, Dipidana dengan pidana kurungan paling lama 3 (tiga) bulan atau denda paling banyak Rp750.000 
 Roni dan Reno hobby berbalapan motor di jalan raya. Tindakan mereka diancam pidana. Sebutkan ancaman pidananya?, Dipidana dengan pidana kurungan paling lama 1 (satu) tahun atau denda paling banyak Rp3.000.000 
 Setiap orang yang mengemudikan Kendaraan Bermotor yang tidak memasang segitiga pengaman Sebutkan ancaman pidananya?, Dipidana dengan pidana kurungan paling lama 2 (dua) bulan atau denda paling banyak Rp500.000 
 Setiap orang yang mengemudikan Kendaraan Bermotor yang terlibat Kecelakaan Lalu Lintas dan dengan sengaja tidak menghentikan kendaraannya Sebutkan ancaman pidananya?, Dipidana dengan pidana penjara paling lama 3 (tiga) tahun atau denda paling banyak Rp75.000.000 
 Selain pidana penjara Pidana tambahan yang dimaksud berupa apa?, Pencabutan Surat Izin Mengemudi atau ganti kerugian yang diakibatkan oleh tindak pidana lalu lintas. 
 Setiap orang yang mengendarai Kendaraan Tidak Bermotor yang dengan sengaja berpegang pada Kendaraan Bermotor untuk ditarik Apa ancaman pidananya?, Dipidana dengan pidana kurungan paling lama 15 (lima belas) hari atau denda paling banyak Rp100.000 
" Mobil barang dilarang digunakan untuk angkutan orang a. rasio Kendaraan Bermotor untuk angkutan orang, kondisi geografis, dan prasarana jalan di provinsi/kabupaten/kota belum memadai b. untuk pengerahan atau pelatihan Tentara Nasional Indonesia dan/atau Kepolisian Negara Republik Indonesia atau c. kepentingan lain berdasarkan pertimbangan Kepolisian Negara Republik Indonesia dan/atau Pemerintah Daerah. Apabila ada orang yang mengemudikan mobil barang untuk mengangkut orang diluar alasan yang tersebut diatas Apa ancaman pidananya?", pidana kurungan paling lama 1 (satu) bulan atau denda paling banyak Rp250.000 
 Tuan Fulan adalah pengemudi angkot. Dalam mengemudikan angkotnya Apa ancaman pidananya?, Pidana kurungan paling lama 1 (satu) bulan atau denda paling banyak Rp250.000 
 Fulan adalah pengemudi angkutan umum. Untuk mendapatkan lebih banyak penumpang Ia kerap kali melewati jaringan jalan selain yang telah ditentukan dalam izin trayek. Tindakan Fulan tidak dibenarkan dan diancam pidana. Sebutkan ancaman pidananya! , Pidana kurungan paling lama 1 (satu) bulan atau denda paling banyak Rp250.000 
 Setiap orang yang mengemudikan Kendaraan angkutan orang dengan tujuan tertentu yang menaikkan atau menurunkan Penumpang lain di sepanjang perjalanan atau menggunakan Kendaraan angkutan tidak sesuai dengan angkutan untuk keperluan lain Apa ancaman pidnanya?, dipidana dengan pidana kurungan paling lama 1 (satu) bulan atau denda paling banyak Rp250.000 
 Setiap orang yang mengemudikan Kendaraan Bermotor yang mengangkut barang khusus yang tidak memenuhi ketentuan tentang persyaratan keselamatan Apa ancaman pidananya?, Dipidana dengan pidana kurungan paling lama 2 (dua) bulan atau denda paling banyak Rp500.000 
 Setiap orang yang mengemudikan kendaraan angkutan barang yang tidak dilengkapi surat muatan dokumen perjalanan Apa ancaman pidananya?, dipidana dengan pidana kurungan paling lama 1 (satu) bulan atau denda paling banyak Rp250.000 
 Setiap orang yang mengemudikan Kendaraan Bermotor Angkutan Umum Barang yang tidak mematuhi ketentuan mengenai tata cara pemuatan Sebutkan ancaman pidananya!, dipidana dengan pidana kurungan paling lama 2 (dua) bulan atau denda paling banyak Rp500.000 
 setiap orang yang mengemudikan Kendaraan Bermotor Umum yang tidak memiliki izin menyelenggarakan angkutan orang dalam trayek Apa ancaman pidananya?, Dipidana dengan pidana kurungan paling lama 2 (dua) bulan atau denda paling banyak Rp500.000 
 Setiap orang yang tidak mengasuransikan tanggung jawabnya untuk penggantian kerugian yang diderita oleh Penumpang Sebutkan ancaman pidananya!, Pidana kurungan paling lama 6 (enam) bulan atau denda paling banyak Rp1.500.000 
 Nona Fulana mengemudikan mobil sambil menelepon temannya sehingga Ia kehilangan konsentrasi saat mengemudi. Akibatnya Sebutkan ancaman pidananya!, Pidana penjara paling lama 5 (lima) tahun dan/atau denda paling banyak Rp10.000.000 
 Perusahaan Angkutan Umum wajib mengasuransikan orang yang dipekerjakan sebagai awak kendaraan. Setiap orang yang tidak mengasuransikan awak kendaraannya Sebutkan ancaman pidananya!, Pidana kurungan paling lama 6 (enam) bulan atau denda paling banyak Rp1.500.000
